"1","Priya Verma","53","5","54618.90"
"2","Rahul Sharma","54","2","4289.99"
"3","Vikram Iyer","509","3","38974.58"
"4","Vikram Patel","175","7","67919.21"
"5","Nikhil Joshi","129","6","55643.79"
"7","Meera Joshi","17","4","15383.24"
"8","Rohan Sharma","77","6","32962.25"
"9","Ananya Mehta","79","5","63931.95"
"10","Rohan Singh","208","4","44434.85"
"11","Vikram Shah","104","1","6396.70"
"12","Meera Iyer","395","5","28540.61"
"13","Pooja Gupta","195","2","33136.27"
"14","Isha Sharma","96","1","7265.49"
"15","Meera Kumar","49","3","28569.80"
"16","Meera Patel","37","5","63797.46"
"17","Aditya Kumar","166","9","109299.12"
"18","Ananya Singh","304","1","3991.29"
"19","Ananya Joshi","114","3","22368.38"
"20","Ananya Verma","415","3","20732.21"
"21","Priya Shah","125","3","44833.13"
"22","Vikram Mehta","240","4","44601.52"
"23","Ananya Gupta","143","6","46620.28"
"24","Nikhil Mehta","200","6","89379.30"
"25","Nikhil Iyer","420","5","54937.48"
"26","Ananya Mehta","60","2","16059.19"
"27","Ananya Joshi","102","6","82997.24"
"28","Priya Mehta","91","5","52656.36"
"29","Pooja Mehta","49","4","48637.03"
"30","Sneha Shah","264","4","33116.19"
"31","Meera Joshi","7","6","66337.54"
"32","Isha Sharma","131","3","20510.83"
"33","Rahul Patel","197","9","62383.83"
"34","Pooja Joshi","73","4","41289.71"
"35","Aditya Iyer","86","3","21489.10"
"37","Meera Gupta","22","4","16751.42"
"38","Priya Patel","68","6","50917.05"
"39","Nikhil Sharma","39","4","30411.70"
"40","Sneha Singh","258","4","56922.18"
"41","Neha Iyer","24","3","20163.28"
"42","Amit Patel","139","7","48674.96"
"43","Priya Sharma","302","4","48222.26"
"44","Rahul Joshi","38","5","15697.12"
"45","Aditya Iyer","596","1","2331.77"
"46","Rohan Verma","51","3","20842.57"
"47","Isha Kumar","61","5","36053.96"
"48","Sneha Verma","269","3","32491.74"
"49","Rahul Kumar","70","8","45033.51"
"50","Nikhil Iyer","12","3","36567.44"
"51","Ananya Patel","83","5","72462.59"
"52","Rohan Kumar","310","1","4372.65"
"53","Priya Kumar","43","6","91894.43"
"54","Arjun Singh","271","2","3455.30"
"55","Isha Shah","38","11","113308.70"
"56","Nikhil Joshi","21","4","52650.26"
"57","Karan Joshi","284","3","46509.12"
"58","Karan Gupta","174","6","26758.34"
"59","Aditya Mehta","182","7","35195.89"
"60","Amit Kumar","94","3","31424.57"
"61","Aditya Kumar","23","3","29594.45"
"62","Pooja Shah","118","7","50330.00"
"63","Amit Kumar","2","4","40473.20"
"64","Isha Patel","294","2","48364.56"
"65","Aditya Joshi","308","4","29916.07"
"66","Karan Joshi","291","3","31692.87"
"67","Isha Verma","165","4","49484.54"
"68","Ananya Verma","124","4","26391.01"
"69","Sneha Sharma","116","7","56564.81"
"70","Priya Joshi","199","6","83663.77"
"71","Amit Shah","503","2","29962.56"
"72","Sneha Kumar","268","4","28582.90"
"73","Rohan Mehta","92","6","56308.05"
"74","Amit Shah","82","4","53751.46"
"75","Amit Kumar","13","5","28059.08"
"76","Pooja Mehta","265","4","26385.43"
"77","Rahul Singh","57","8","54400.89"
"78","Neha Singh","494","4","27513.80"
"79","Neha Gupta","124","7","67421.38"
"80","Isha Gupta","121","4","47259.11"
"81","Sneha Singh","9","8","80201.50"
"82","Amit Verma","154","6","41614.89"
"83","Pooja Iyer","68","8","87690.44"
"84","Meera Sharma","82","4","39324.81"
"85","Neha Iyer","31","5","31013.88"
"86","Neha Shah","121","4","57697.74"
"87","Priya Iyer","139","6","44484.71"
