customer_id,customer_name,recency_days,frequency,monetary,cluster,segment
1,Priya Verma,53,5,54618.9,2,High-Value Loyal Customers
2,Rahul Sharma,54,2,4289.99,3,Inactive Low-Value Customers
3,Vikram Iyer,509,3,38974.58,1,Cooling Customers
4,Vikram Patel,175,7,67919.21,2,High-Value Loyal Customers
5,Nikhil Joshi,129,6,55643.79,2,High-Value Loyal Customers
7,Meera Joshi,17,4,15383.24,0,Recent Customers
8,Rohan Sharma,77,6,32962.25,2,High-Value Loyal Customers
9,Ananya Mehta,79,5,63931.95,2,High-Value Loyal Customers
10,Rohan Singh,208,4,44434.85,1,Cooling Customers
11,Vikram Shah,104,1,6396.7,3,Inactive Low-Value Customers
12,Meera Iyer,395,5,28540.61,1,Cooling Customers
13,Pooja Gupta,195,2,33136.27,1,Cooling Customers
14,Isha Sharma,96,1,7265.49,3,Inactive Low-Value Customers
15,Meera Kumar,49,3,28569.8,1,Cooling Customers
16,Meera Patel,37,5,63797.46,2,High-Value Loyal Customers
17,Aditya Kumar,166,9,109299.12,2,High-Value Loyal Customers
18,Ananya Singh,304,1,3991.29,3,Inactive Low-Value Customers
19,Ananya Joshi,114,3,22368.38,1,Cooling Customers
20,Ananya Verma,415,3,20732.21,1,Cooling Customers
21,Priya Shah,125,3,44833.13,1,Cooling Customers
22,Vikram Mehta,240,4,44601.52,1,Cooling Customers
23,Ananya Gupta,143,6,46620.28,2,High-Value Loyal Customers
24,Nikhil Mehta,200,6,89379.3,2,High-Value Loyal Customers
25,Nikhil Iyer,420,5,54937.48,1,Cooling Customers
26,Ananya Mehta,60,2,16059.19,3,Inactive Low-Value Customers
27,Ananya Joshi,102,6,82997.24,2,High-Value Loyal Customers
28,Priya Mehta,91,5,52656.36,2,High-Value Loyal Customers
29,Pooja Mehta,49,4,48637.03,2,High-Value Loyal Customers
30,Sneha Shah,264,4,33116.19,1,Cooling Customers
31,Meera Joshi,7,6,66337.54,0,Recent Customers
32,Isha Sharma,131,3,20510.83,1,Cooling Customers
33,Rahul Patel,197,9,62383.83,2,High-Value Loyal Customers
34,Pooja Joshi,73,4,41289.71,1,Cooling Customers
35,Aditya Iyer,86,3,21489.1,1,Cooling Customers
37,Meera Gupta,22,4,16751.42,0,Recent Customers
38,Priya Patel,68,6,50917.05,2,High-Value Loyal Customers
39,Nikhil Sharma,39,4,30411.7,0,Recent Customers
40,Sneha Singh,258,4,56922.18,1,Cooling Customers
41,Neha Iyer,24,3,20163.28,0,Recent Customers
42,Amit Patel,139,7,48674.96,2,High-Value Loyal Customers
43,Priya Sharma,302,4,48222.26,1,Cooling Customers
44,Rahul Joshi,38,5,15697.12,0,Recent Customers
45,Aditya Iyer,596,1,2331.77,3,Inactive Low-Value Customers
46,Rohan Verma,51,3,20842.57,1,Cooling Customers
47,Isha Kumar,61,5,36053.96,2,High-Value Loyal Customers
48,Sneha Verma,269,3,32491.74,1,Cooling Customers
49,Rahul Kumar,70,8,45033.51,2,High-Value Loyal Customers
50,Nikhil Iyer,12,3,36567.44,0,Recent Customers
51,Ananya Patel,83,5,72462.59,2,High-Value Loyal Customers
52,Rohan Kumar,310,1,4372.65,3,Inactive Low-Value Customers
53,Priya Kumar,43,6,91894.43,2,High-Value Loyal Customers
54,Arjun Singh,271,2,3455.3,3,Inactive Low-Value Customers
55,Isha Shah,38,11,113308.7,2,High-Value Loyal Customers
56,Nikhil Joshi,21,4,52650.26,0,Recent Customers
57,Karan Joshi,284,3,46509.12,1,Cooling Customers
58,Karan Gupta,174,6,26758.34,1,Cooling Customers
59,Aditya Mehta,182,7,35195.89,2,High-Value Loyal Customers
60,Amit Kumar,94,3,31424.57,1,Cooling Customers
61,Aditya Kumar,23,3,29594.45,0,Recent Customers
62,Pooja Shah,118,7,50330.0,2,High-Value Loyal Customers
63,Amit Kumar,2,4,40473.2,0,Recent Customers
64,Isha Patel,294,2,48364.56,1,Cooling Customers
65,Aditya Joshi,308,4,29916.07,1,Cooling Customers
66,Karan Joshi,291,3,31692.87,1,Cooling Customers
67,Isha Verma,165,4,49484.54,1,Cooling Customers
68,Ananya Verma,124,4,26391.01,1,Cooling Customers
69,Sneha Sharma,116,7,56564.81,2,High-Value Loyal Customers
70,Priya Joshi,199,6,83663.77,2,High-Value Loyal Customers
71,Amit Shah,503,2,29962.56,1,Cooling Customers
72,Sneha Kumar,268,4,28582.9,1,Cooling Customers
73,Rohan Mehta,92,6,56308.05,2,High-Value Loyal Customers
74,Amit Shah,82,4,53751.46,2,High-Value Loyal Customers
75,Amit Kumar,13,5,28059.08,0,Recent Customers
76,Pooja Mehta,265,4,26385.43,1,Cooling Customers
77,Rahul Singh,57,8,54400.89,2,High-Value Loyal Customers
78,Neha Singh,494,4,27513.8,1,Cooling Customers
79,Neha Gupta,124,7,67421.38,2,High-Value Loyal Customers
80,Isha Gupta,121,4,47259.11,1,Cooling Customers
81,Sneha Singh,9,8,80201.5,0,Recent Customers
82,Amit Verma,154,6,41614.89,2,High-Value Loyal Customers
83,Pooja Iyer,68,8,87690.44,2,High-Value Loyal Customers
84,Meera Sharma,82,4,39324.81,1,Cooling Customers
85,Neha Iyer,31,5,31013.88,0,Recent Customers
86,Neha Shah,121,4,57697.74,1,Cooling Customers
87,Priya Iyer,139,6,44484.71,2,High-Value Loyal Customers
88,Pooja Sharma,62,2,9697.89,3,Inactive Low-Value Customers
89,Isha Shah,200,6,39948.37,2,High-Value Loyal Customers
90,Pooja Mehta,353,2,38089.24,1,Cooling Customers
91,Vikram Gupta,41,5,67734.32,2,High-Value Loyal Customers
92,Isha Singh,9,8,91171.08,0,Recent Customers
93,Ananya Shah,124,4,55008.5,1,Cooling Customers
